Time,Torque,AngAccel,AngVel,Angle,Force.x,Force.y,Accel.x,Accel.y,Vel.x,Vel.y,Pos.x,Pos.y
2.01,0,0,0,0,5e+07,0,50,0,99.65,0,99.3012,0
3.016,0,0,0,0,5e+07,0,50,0,150,0,225,0
4.029,0,0,0,0,5e+07,0,50,0,200.6,0,402.404,0
5.033,6.291e+08,0.0235618,0.000801101,1.36187e-05,2.5e+07,1.48557,25,1.48557e-06,250.426,2.52547e-08,629.254,2.14665e-10
6.041,6.291e+08,0.0235618,0.0245278,0.0127667,2.49997e+07,113263,24.9997,0.113263,275.6,0.0301832,894.107,0.00628171
7.05101,6.291e+08,0.0235618,0.0483252,0.0495576,2.49848e+07,873119,24.9848,0.873119,300.846,0.451169,1185.21,0.184782
8.06201,6.291e+08,0.0235618,0.0721698,0.110528,2.48307e+07,2.90468e+06,24.8307,2.90468,326.075,2.23811,1502.45,1.37073
9.07402,6.291e+08,0.0235618,0.0959909,0.195533,2.40652e+07,6.77253e+06,24.0652,6.77253,350.876,6.97075,1844.71,5.69316
10.082,6.291e+08,0.0235618,0.119765,0.304381,2.1526e+07,1.27134e+07,21.526,12.7134,374.086,16.6654,2210.67,17.1079
11.094,6.291e+08,0.0235618,0.143585,0.437504,1.51577e+07,1.98808e+07,15.1577,19.8808,393.03,33.1537,2598.99,41.6707
12.104,6.291e+08,0.0235618,0.167383,0.594543,2.83538e+06,2.48387e+07,2.83538,24.8387,402.614,56.18,3001.85,86.3507
13.109,6.291e+08,0.0235618,0.191085,0.774853,-1.41207e+07,2.06302e+07,-14.1207,20.6302,396.966,80.1355,3405.49,155.27
14.12,6.291e+08,0.0235618,0.214882,0.979867,-2.49627e+07,1.36487e+06,-24.9627,1.36487,375.917,92.3971,3796.75,244.067
15.127,6.291e+08,0.0235618,0.238632,1.20844,-1.16079e+07,-2.21418e+07,-11.6079,-22.1418,355.026,80.9324,4163.99,333.482
16.133,6.291e+08,0.0235618,0.262312,1.46016,1.97503e+07,-1.53273e+07,19.7503,-15.3273,359.605,58.2712,4520.35,402.849
17.1401,6.291e+08,0.0235618,0.286062,1.73654,1.32895e+07,2.11752e+07,13.2895,21.1752,381.654,61.7871,4894.5,460.09
18.1531,6.291e+08,0.0235618,0.309906,2.0381,-2.46893e+07,3.92919e+06,-24.6893,3.92919,373.285,81.3854,5280.02,534.092
19.1631,6.291e+08,0.0235618,0.333704,2.36313,1.35468e+07,-2.10116e+07,13.5468,-21.0116,361.995,64.9433,5647.76,610.37
20.1731,6.291e+08,0.0235618,0.357525,2.71254,-2.13118e+06,2.4909e+07,-2.13118,24.909,379.514,70.4191,6024.09,674.289
21.1812,6.291e+08,0.0235618,0.381251,3.08452,-621176,-2.49923e+07,-0.621176,-24.9923,363.032,70.3295,6397.83,750.22
22.1912,6.291e+08,0.0235618,0.405072,3.482,-6.62561e+06,2.41061e+07,-6.62561,24.1061,377.352,71.5996,6772.7,816.606
23.2042,6.291e+08,0.0235618,0.428917,3.904,2.09093e+07,-1.3704e+07,20.9093,-13.704,367.337,64.945,7146.29,890.236
24.2162,6.291e+08,0.0235618,0.452761,4.35013,-2.06772e+07,-1.40518e+07,-20.6772,-14.0518,367.778,74.4236,7523.83,960.717
25.2222,6.291e+08,0.0235618,0.476488,4.818,-1.57252e+07,1.9435e+07,-15.7252,19.435,374.563,73.0291,7896.79,1029.65
26.2343,6.291e+08,0.0235618,0.500309,5.31177,7.45126e+06,2.38638e+07,7.45126,23.8638,374.898,68.813,8270.65,1100.48
27.2453,6.291e+08,0.0235618,0.524129,5.82961,1.71459e+07,1.81939e+07,17.1459,18.1939,373.68,67.6142,8645.17,1171.83
28.2553,6.291e+08,0.0235618,0.54795,6.37154,1.52167e+07,1.98356e+07,15.2167,19.8356,373.813,68.4032,9020.15,1243.16
29.2663,6.291e+08,0.0235618,0.571748,6.93699,-666798,2.49911e+07,-0.666798,24.9911,374.285,71.0422,9395.11,1314.61
30.2784,6.291e+08,0.0235618,0.595592,7.52765,-2.41788e+07,6.35516e+06,-24.1787,6.35517,371.427,74.1933,9770.74,1386.93
31.2844,6.291e+08,0.0235618,0.619295,8.13874,2.15676e+06,-2.49068e+07,2.15676,-24.9068,367.723,70.6495,10143.2,1458.89
32.2954,6.291e+08,0.0235618,0.643116,8.77689,1.16617e+07,2.21135e+07,11.6617,22.1135,373.222,69.7045,10517.9,1529.87
33.3053,6.291e+08,0.0235618,0.666937,9.43915,-9.1933e+06,-2.32483e+07,-9.1933,-23.2483,368.358,71.8132,10892.9,1602.23
34.3112,6.291e+08,0.0235618,0.690617,10.1213,-1.05218e+07,2.2678e+07,-10.5218,22.678,372.82,72.0797,11265.6,1673.07
35.3231,0,0.0235618,0.714485,10.833,0,0,0,0,369.932,73.3215,11640.9,1746.06
36.334,0,0.0235618,0.738282,11.5667,0,0,0,0,369.932,73.3215,12014.5,1820.11
37.3449,0,0.0235618,0.762103,12.3251,0,0,0,0,369.932,73.3215,12388.5,1894.24
38.3558,0,0.0235618,0.785947,13.1085,0,0,0,0,369.932,73.3215,12762.9,1968.44
39.3667,0,0.0235618,0.809745,13.9143,0,0,0,0,369.932,73.3215,13136.5,2042.49
40.3767,0,0.0235618,0.833542,14.7442,0,0,0,0,369.932,73.3215,13510.2,2116.55
41.3876,0,0.0235618,0.857363,15.5989,0,0,0,0,369.932,73.3215,13884.2,2190.68
42.4015,0,0.0235618,0.881254,16.4804,0,0,0,0,369.932,73.3215,14259.3,2265.03
